"","X","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","Scientific","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","scientificName","assessmentId","internalTaxonId","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","authority","redlistCategory","populationTrend","scopes"
"184",1343,11455,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Certhilauda erythrochlamys","Dune Lark",60,0,0,0,0,0,0,0,40,0,"Invertebrate","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,28.06,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",1349,11500,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Calandrella rufescens","Lesser Short-toed Lark",40,0,0,0,0,0,10,0,40,10,"Omnivore","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,24.1,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",1350,11501,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Calandrella cheleensis","Asian Short-toed Lark",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,22.2,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",1355,11530,"Passeriformes","Passeriformes","Alaudidae","Larks",158,"BL3","Alauda japonica","Japanese Skylark",40,0,0,0,0,0,0,0,40,20,"PlantSeed","Ref_9","A","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Jessica",0,31.75,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",1356,11555,"Passeriformes","Passeriformes","Dicaeidae","Flowerpeckers",181,"BL3","Dicaeum aeruginosum","Striped Flowerpecker",20,0,0,0,0,0,60,0,0,20,"FruiNect","Ref_13","A","Carolina",0,0,0,20,20,60,0,0,"Ref_28",1,"Christian",0,11,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",1358,11596,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Anthreptes fraseri","Scarlet-tufted Sunbird",80,0,0,0,0,0,10,10,0,0,"Invertebrate","Ref_13","C","Carolina",0,0,0,20,40,40,0,0,"Ref_28",1,"Christian",0,11.31,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1390,11640,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia sperata","Purple-throated Sunbird",30,0,0,0,0,0,20,30,20,0,"Omnivore","Ref_13","A","Carolina",0,0,0,20,40,40,0,0,"Ref_28",1,"Other",0,6.4,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",1393,11644,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia jugularis","Olive-backed Sunbird",40,0,0,0,0,0,30,30,0,0,"FruiNect","Ref_13","A","Carolina",0,0,0,60,20,20,0,0,"Ref_28",1,"Christian",0,8.99,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",1407,11658,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia habessinica","Shining Sunbird",30,0,0,0,0,0,30,40,0,0,"FruiNect","Ref_13","A","Carolina",0,0,0,70,30,0,0,0,"Ref_28",1,"Christian",0,9.5,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",1409,11660,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia manoensis","Miombo Double-collared Sunbird",50,0,0,0,0,0,0,50,0,0,"Omnivore","Ref_13","A","Carolina",0,0,0,30,40,10,20,0,"Ref_28",1,"Christian",0,9.48,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",1411,11663,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia afra","Greater Double-collared Sunbird",60,0,0,0,0,0,0,40,0,0,"Invertebrate","Ref_13","A","Carolina",0,0,0,20,40,20,20,0,"Ref_28",1,"Christian",0,11.1,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",1415,11669,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia mediocris","Eastern Double-collared Sunbird",50,0,0,0,0,0,0,50,0,0,"Omnivore","Ref_13","A","Carolina",0,0,0,40,40,10,10,0,"Ref_28",1,"Christian",0,8.19,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",1431,11692,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia bifasciata","Purple-banded Sunbird",30,0,0,0,0,0,0,40,30,0,"Omnivore","Ref_13","A","Carolina",0,0,0,50,40,10,0,0,"Ref_28",1,"Christian",0,7.18,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",1434,11699,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia notata","Long-billed Green Sunbird",40,0,0,0,0,0,0,30,30,0,"Omnivore","Ref_13","A","Carolina",0,0,0,0,30,70,0,0,"Ref_28",1,"Christian",0,14.57,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",1438,11703,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Nectarinia pulchella","Beautiful Sunbird",30,0,0,0,0,0,0,40,0,30,"Omnivore","Ref_13","A","Carolina",0,0,0,40,60,0,0,0,"Ref_28",1,"Christian",0,7.03,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",1440,11728,"Passeriformes","Passeriformes","Nectariniidae","Sunbirds",168,"BL3","Arachnothera everetti","Bornean Spiderhunter",60,0,0,0,0,0,0,40,0,0,"Invertebrate","Ref_13","C","Carolina",0,0,0,40,30,30,0,0,"Ref_28",1,"Christian",0,29.2,"PrimScale",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",1441,11738,"Passeriformes","Passeriformes","Melanocharitidae","Berrypeckers",124,"BL3","Melanocharis crassirostris","Spotted Berrypecker",40,0,0,0,0,0,60,0,0,0,"FruiNect","Ref_13","A","Carolina",0,0,0,0,70,30,0,0,"Ref_39",1,"Jessica",0,18,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",1456,11844,"Passeriformes","Passeriformes","Motacillidae","Wagtails and pipits",170,"BL3","Anthus longicaudatus","Long-tailed Pipit",90,0,0,0,0,0,0,0,10,0,"Invertebrate","Ref_9","D1","Carolina",0,0,100,0,0,0,0,0,"Ref_9",1,"Christian",0,32.2,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",1458,11906,"Passeriformes","Passeriformes","Prunellidae","Accentors",186,"BL3","Prunella fagani","Yemen Accentor",50,0,0,0,0,0,0,0,50,0,"Omnivore","Ref_10","A","Carolina",0,0,50,50,0,0,0,0,"Ref_10",1,"Jessica",0,21.9,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",1465,12113,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Estrilda melanotis","Swee Waxbill",30,0,0,0,0,0,0,0,70,0,"PlantSeed","Ref_15","A","Jennifer",0,0,60,20,20,0,0,0,"Ref_27",1,"Jessica",0,6.51,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",1466,12135,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"IOC27","Ortygospiza gabonensis","Black-chinned Quail-Finch",20,0,0,0,0,0,0,0,60,20,"PlantSeed","Ref_15","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_27",1,"Jessica",0,12.67,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",1468,12162,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Erythrura regia","Royal Parrotfinch",20,0,0,0,0,0,40,10,30,0,"Omnivore","Ref_15","A","Jennifer",0,0,0,0,60,40,0,0,"Ref_27",1,"Jessica",0,13.78,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206",1473,12168,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Lonchura bicolor","Black-and-white Munia",10,0,0,0,0,0,10,0,60,20,"PlantSeed","Ref_15","A","Jennifer",0,0,50,50,0,0,0,0,"Ref_27",1,"Jessica",0,9.9,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207",1477,12201,"Passeriformes","Passeriformes","Estrildidae","Waxbills, grass finches, munias and allies",169,"BL3","Lonchura nigerrima","New Hanover Munia",0,0,0,0,0,0,0,0,100,0,"PlantSeed","Ref_15","A","Jennifer",0,0,60,40,0,0,0,0,"Genus",0,"Walter",0,13.27,"GenAvg",0,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",1492,12273,"Passeriformes","Passeriformes","Fringillidae","Finches and Hawaiian honeycreepers",188,"BL3","Serinus atrogularis","Black-throated Seedeater",10,0,0,0,0,0,10,0,70,10,"PlantSeed","Ref_15","A","Jennifer",0,0,50,0,50,0,0,0,"Ref_27",1,"Jessica",0,11.4,"Dunning08",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
