"","assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","Scientific.x","MSW3_ID","Scientific.y","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel"
"4080",50370296,17028,"Phocoena sinus","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Phocoena","sinus",NA,NA,NA,"Norris &amp; McFarland, 1958","Critically Endangered","A2a+4d; C1+2a(ii); D; E",3.1,"Decreasing","Global","Phocoena sinus",5387,"Phocoena sinus","Phocoenidae",0,0,0,100,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",42500,"Ref_117",1
"4081",50370481,17029,"Phocoena spinipinnis","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Phocoena","spinipinnis",NA,NA,NA,"Burmeister, 1865","Near Threatened","A3d+4d",3.1,"Unknown","Global","Phocoena spinipinnis",5388,"Phocoena spinipinnis","Phocoenidae",0,0,0,100,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",60000,"Ref_117",1
"4082",50370912,17032,"Phocoenoides dalli","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Phocoenoides","dalli",NA,NA,NA,"(True, 1885)","Least Concern","",3.1,"Unknown","Global","Phocoenoides dalli",5389,"Phocoenoides dalli","Phocoenidae",10,0,0,90,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",102500,"Ref_117",1
"4083",50373009,20729,"Stenella attenuata","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Stenella","attenuata",NA,NA,NA,"(Gray, 1846)","Least Concern","",3.1,"Unknown","Global","Stenella attenuata",5374,"Stenella attenuata","Delphinidae",60,0,0,40,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_1","ABC",57400,"Ref_117",1
"4084",50373865,20730,"Stenella clymene","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Stenella","clymene",NA,NA,NA,"(Gray, 1846)","Least Concern","",3.1,"Unknown","Global","Stenella clymene",5378,"Stenella clymene","Delphinidae",60,0,0,40,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_1","ABC",68000,"Ref_117",1
"4085",50374282,20731,"Stenella coeruleoalba","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Stenella","coeruleoalba",NA,NA,NA,"(Meyen, 1833)","Least Concern","",3.1,"Unknown","Global","Stenella coeruleoalba",5377,"Stenella coeruleoalba","Delphinidae",60,0,0,40,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_115","ABC",135900,"Ref_117",1
"4086",50375312,20732,"Stenella frontalis","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Stenella","frontalis",NA,NA,NA,"(G. Cuvier, 1829)","Least Concern","",3.1,"Unknown","Global","Stenella frontalis",5376,"Stenella frontalis","Delphinidae",60,0,0,40,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_1","ABC",110000,"Ref_117",1
"4087",50376703,20738,"Steno bredanensis","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Steno","bredanensis",NA,NA,NA,"(G. Cuvier in Lesson, 1828)","Least Concern","",3.1,"Unknown","Global","Steno bredanensis",5381,"Steno bredanensis","Delphinidae",40,0,0,60,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",130000,"Ref_117",1
"4088",50377701,21500,"Tasmacetus shepherdi","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","ZIPHIIDAE","Tasmacetus","shepherdi",NA,NA,NA,"Oliver, 1937","Data Deficient","",3.1,"Unknown","Global","Tasmacetus shepherdi",5390,"Tasmacetus shepherdi","Ziphiidae",40,0,0,60,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",2500000,"Ref_117",1
"4089",50380694,41711,"Eubalaena japonica","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","BALAENIDAE","Eubalaena","japonica",NA,NA,NA,"(Lacépède, 1818)","Endangered","D",3.1,"Unknown","Global","Eubalaena japonica",5338,"Eubalaena japonica","Balaenidae",100,0,0,0,0,0,0,0,0,0,"Ref_26","ABC","M","A","",1,1,1,"Ref_1","ABC",2.3e+07,"Ref_2, Ref_3",0
