assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
93798861,22700824,Iodopleura fusca,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Iodopleura,fusca,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
93799277,22700831,Snowornis subalaris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Snowornis,subalaris,,,,"Sclater, 1861",Near Threatened,A3c,3.1,Decreasing,Global
93799496,22700838,Snowornis cryptolophus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Snowornis,cryptolophus,,,,"(Sclater & Salvin, 1877)",Least Concern,,3.1,Decreasing,Global
93800098,22700856,Lipaugus vociferans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,vociferans,,,,"(Wied, 1820)",Least Concern,,3.1,Decreasing,Global
93800330,22700859,Lipaugus unirufus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,unirufus,,,,"Sclater, 1859",Least Concern,,3.1,Decreasing,Global
93800536,22700862,Lipaugus lanioides,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,lanioides,,,,"(Lesson, 1844)",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
93800795,22700865,Lipaugus streptophorus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Lipaugus,streptophorus,,,,"(Salvin & Godman, 1884)",Least Concern,,3.1,Stable,Global
93800971,22700868,Porphyrolaema porphyrolaema,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Porphyrolaema,porphyrolaema,,,,"(Deville & Sclater, 1852)",Least Concern,,3.1,Decreasing,Global
93801151,22700871,Cotinga amabilis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,amabilis,,,,"Gould, 1857",Least Concern,,3.1,Decreasing,Global
93801353,22700874,Cotinga ridgwayi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,ridgwayi,,,,"Ridgway, 1887",Vulnerable,"A2c+3c+4c;B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
93801623,22700877,Cotinga nattererii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,nattererii,,,,"(Boissonneau, 1840)",Least Concern,,3.1,Decreasing,Global
93801794,22700880,Cotinga maynana,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cotinga,maynana,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
93802939,22700897,Xipholena lamellipennis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Xipholena,lamellipennis,,,,"(Lafresnaye, 1839)",Near Threatened,A3c,3.1,Stable,Global
93803456,22700904,Carpodectes nitidus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Carpodectes,nitidus,,,,"Salvin, 1865",Least Concern,,3.1,Decreasing,Global
93803941,22700910,Carpodectes hopkei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Carpodectes,hopkei,,,,"Berlepsch, 1897",Least Concern,,3.1,Decreasing,Global
93804113,22700913,Conioptilon mcilhennyi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Conioptilon,mcilhennyi,,,,"Lowery & O'Neill, 1966",Least Concern,,3.1,Stable,Global
93804304,22700916,Gymnoderus foetidus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Gymnoderus,foetidus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
93804722,22700925,Querula purpurata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Querula,purpurata,,,,"(Müller, 1776)",Least Concern,,3.1,Decreasing,Global
93804956,22700928,Pyroderus scutatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Pyroderus,scutatus,,,,"(Shaw, 1792)",Least Concern,,3.1,Decreasing,Global
93805184,22700933,Cephalopterus glabricollis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cephalopterus,glabricollis,,,,"Gould, 1851",Endangered,C2a(ii),3.1,Decreasing,Global
93805498,22700936,Cephalopterus penduliger,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cephalopterus,penduliger,,,,"Sclater, 1859",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
93805915,22700940,Cephalopterus ornatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Cephalopterus,ornatus,,,,"Geoffroy Saint-Hilaire, 1809",Least Concern,,3.1,Decreasing,Global
